,Modelo,Cut-Off,Predichas,Acertadas,Ratio,Balance
289,cp_1_24.ckpt,0.5,2279,1164,51.07503290917069,119061550269.63504
290,cp_1_24.ckpt,0.5,3385,1686,49.80797636632201,1689493301240554.0
291,cp_1_24.ckpt,0.5,4017,1858,46.25342295245208,2678851492681879.0
292,cp_1_24.ckpt,0.5,4102,1873,45.66065333983423,2065240488680033.5
293,cp_1_25.ckpt,0.5,1103,741,67.1804170444243,855704765.9393816
294,cp_1_25.ckpt,0.5,1516,1010,66.62269129287598,571485766913.108
295,cp_1_25.ckpt,0.5,1554,1027,66.0875160875161,764851856407.3369
296,cp_1_25.ckpt,0.5,1559,1029,66.00384862091084,787331012397.6716
297,cp_1_26.ckpt,0.5,1178,808,68.59083191850594,5721363787.836161
298,cp_1_26.ckpt,0.5,1646,1117,67.86148238153099,10720077813821.932
299,cp_1_26.ckpt,0.5,1747,1153,65.9988551803091,16166859945350.408
300,cp_1_26.ckpt,0.5,1751,1154,65.90519703026841,16157288679256.96
301,cp_1_27.ckpt,0.5,1270,846,66.61417322834646,10223853316.040394
302,cp_1_27.ckpt,0.5,1757,1174,66.81844052361981,33590792814748.395
303,cp_1_27.ckpt,0.5,1842,1212,65.79804560260587,64400455502883.234
304,cp_1_27.ckpt,0.5,1844,1212,65.72668112798264,63118886438375.86
305,cp_1_28.ckpt,0.5,1188,806,67.84511784511784,4780215201.359659
306,cp_1_28.ckpt,0.5,1627,1099,67.54763368162261,6360521112187.825
307,cp_1_28.ckpt,0.5,1697,1134,66.82380671773718,12590047658267.48
308,cp_1_28.ckpt,0.5,1697,1134,66.82380671773718,12590047658267.48
309,cp_1_29.ckpt,0.5,1224,778,63.56209150326797,1098139747.2021558
310,cp_1_29.ckpt,0.5,1699,1062,62.50735726898176,712445414434.0621
311,cp_1_29.ckpt,0.5,1748,1084,62.013729977116704,1040688590361.6432
312,cp_1_29.ckpt,0.5,1748,1084,62.013729977116704,1040688590361.6432
313,cp_1_30.ckpt,0.5,1282,852,66.45865834633385,11493415990.356358
314,cp_1_30.ckpt,0.5,1785,1166,65.32212885154061,18466707151254.094
315,cp_1_30.ckpt,0.5,1839,1194,64.92659053833606,32534700517164.15
316,cp_1_30.ckpt,0.5,1840,1194,64.8913043478261,32209353511992.508
317,cp_1_31.ckpt,0.5,1120,756,67.5,1306630256.7066262
318,cp_1_31.ckpt,0.5,1571,1058,67.34563971992361,2201093881759.051
319,cp_1_31.ckpt,0.5,1600,1073,67.0625,2979131417659.3774
320,cp_1_31.ckpt,0.5,1600,1073,67.0625,2979131417659.3774
321,cp_1_32.ckpt,0.5,1122,751,66.93404634581105,1050540861.56325
322,cp_1_32.ckpt,0.5,1568,1058,67.47448979591837,2268469700328.508
323,cp_1_32.ckpt,0.5,1617,1082,66.91403834260977,3586792398493.9844
324,cp_1_32.ckpt,0.5,1618,1082,66.87268232385661,3550924474509.0444
325,cp_1_33.ckpt,0.5,1443,933,64.65696465696466,56374135456.541954
326,cp_1_33.ckpt,0.5,1998,1284,64.26426426426427,232554883633463.78
327,cp_1_33.ckpt,0.5,2080,1318,63.36538461538461,392175487203479.94
328,cp_1_33.ckpt,0.5,2081,1318,63.334935127342625,388253732331445.1
329,cp_1_34.ckpt,0.5,1028,733,71.3035019455253,1324549262.4972918
330,cp_1_34.ckpt,0.5,1424,1000,70.2247191011236,969498663084.4089
331,cp_1_34.ckpt,0.5,1454,1015,69.80742778541953,1299072843282.2031
332,cp_1_34.ckpt,0.5,1454,1015,69.80742778541953,1299072843282.2031
333,cp_1_35.ckpt,0.5,1077,773,71.77344475394615,3947061149.830327
334,cp_1_35.ckpt,0.5,1476,1049,71.07046070460704,4003840874382.2705
335,cp_1_35.ckpt,0.5,1500,1065,71.0,5928624725813.498
336,cp_1_35.ckpt,0.5,1500,1065,71.0,5928624725813.498
337,cp_1_36.ckpt,0.5,973,719,73.89516957862281,1322220818.217924
338,cp_1_36.ckpt,0.5,1325,973,73.43396226415095,899928770801.0028
